timestamp,mappedScore,HR,EDA,Score
12.06.2021 01:36:07,0.04502203,70,0.2972973,10
12.06.2021 01:36:17,0.115487,73.33334,0.1791792,20
12.06.2021 01:36:27,0.1155102,80,0.1381381,30
12.06.2021 01:36:36,0.01959184,75,0.2982983,40
12.06.2021 01:36:45,0.2854694,70,0.006006006,60
12.06.2021 01:36:53,0.1565079,66.66666,0.2092092,80
12.06.2021 01:37:00,0.2379592,60,0.1631632,100
12.06.2021 01:37:07,0.2222857,60,0.1871872,130
12.06.2021 01:37:14,0.131864,65,0.2622623,50
12.06.2021 01:37:20,0.1254966,65,0.2712713,90
12.06.2021 01:37:26,0.1870476,65,0.1841842,20
12.06.2021 01:37:32,0.2500136,65,0.0950951,60
12.06.2021 01:37:38,0.2484082,60,0.1471471,0
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 01:40:47,0.2666584,66.66666,0.02202202,10
12.06.2021 01:40:56,0.2830395,65,0.01001001,20
12.06.2021 01:41:05,0.1050824,66.66666,0.2662663,30
12.06.2021 01:41:14,0.1358331,65,0.2382382,50
12.06.2021 01:41:22,0.2976534,60,0.02002002,70
12.06.2021 01:41:29,0.2716125,66.66666,0.008008008,100
12.06.2021 01:41:36,0.15099,60,0.2702703,130
12.06.2021 01:41:43,0.2454412,60,0.1091091,160
12.06.2021 01:41:49,0.254241,60,0.0940941,200
12.06.2021 01:41:55,0.1277683,70,0.1941942,240
12.06.2021 01:42:00,0.1222928,70,0.2022022,290
12.06.2021 01:42:06,0.1331296,73.33334,0.1551552,340
12.06.2021 01:42:11,0.1589424,73.33334,0.1191191,390
12.06.2021 01:42:16,0.1849181,66.66666,0.1411411,450
12.06.2021 01:42:21,0.2684429,65,0.02602603,510
12.06.2021 01:42:25,0.1966267,65,0.1391391,580
12.06.2021 01:42:30,0.2646297,65,0.03203203,650
12.06.2021 01:42:35,0.240748,60,0.1171171,720
12.06.2021 01:42:40,0.2137619,60,0.1631632,800
12.06.2021 01:42:44,0.2243217,60,0.1451451,770
12.06.2021 01:42:48,0.2395747,60,0.1191191,860
12.06.2021 01:42:52,0.2337081,60,0.1291291,950
12.06.2021 01:42:55,0.192178,65,0.1461461,1050
12.06.2021 01:42:59,0.2364133,66.66666,0.06206206,1150
12.06.2021 01:43:02,0.2188707,65,0.1041041,1140
12.06.2021 01:43:06,0.189481,66.66666,0.1341341,1130
12.06.2021 01:43:09,0.1953475,66.66666,0.1251251,1230
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 01:43:51,0.1890002,65,0.1511512,10
12.06.2021 01:44:01,0.2595942,55,0.1381381,20
12.06.2021 01:44:10,0.2642467,53.33333,0.1491491,30
12.06.2021 01:44:18,0.2219751,60,0.1491491,50
12.06.2021 01:44:26,0.2482278,70,0.01801802,70
12.06.2021 01:44:33,0.1775849,73.33334,0.09309309,100
12.06.2021 01:44:40,0.2598794,66.66666,0.02602603,130
12.06.2021 01:44:47,0.2665607,60,0.07307307,170
12.06.2021 01:44:53,0.1959994,66.66666,0.1241241,210
12.06.2021 01:44:58,0.1634075,66.66666,0.1741742,250
12.06.2021 01:45:04,0.2507537,66.66666,0.04004004,300
12.06.2021 01:45:09,0.2278416,60,0.1391391,350
12.06.2021 01:45:14,0.2026155,60,0.1821822,410
12.06.2021 01:45:19,0.238988,60,0.1201201,470
12.06.2021 01:45:24,0.2225617,60,0.1481481,530
12.06.2021 01:45:28,0.161452,66.66666,0.1771772,600
12.06.2021 01:45:34,0.180453,73.33334,0.08908909,670
12.06.2021 01:45:39,0.173625,70,0.1271271,640
12.06.2021 01:45:43,0.1415302,75,0.1291291,720
12.06.2021 01:45:48,0.1173552,73.33334,0.1771772,690
12.06.2021 01:45:52,0.2690051,66.66666,0.01201201,780
12.06.2021 01:45:56,0.1715717,70,0.1301301,760
12.06.2021 01:45:59,0.1704147,73.33334,0.1031031,860
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 01:38:19,0.2628571,75,0,10
12.06.2021 01:38:29,0.02767347,73.33334,0.3063063,20
12.06.2021 01:38:38,0.2832653,65,0.04804805,30
12.06.2021 01:38:47,0.2862857,60,0.08908909,50
12.06.2021 01:38:54,0.2699592,60,0.1141141,70
12.06.2021 01:39:02,0.297415,65,0.02802803,100
12.06.2021 01:39:09,0.1424762,65,0.2472472,130
12.06.2021 01:39:15,0.1226576,73.33334,0.1871872,160
12.06.2021 01:39:21,0.183356,66.66666,0.1721722,200
12.06.2021 01:39:27,0.1935147,66.66666,0.1581582,240
12.06.2021 01:39:33,0.3,60,0.02402402,290
12.06.2021 01:39:38,0.2643159,65,0.03903904,340
12.06.2021 01:39:43,0.2255774,65,0.0990991,400
12.06.2021 01:39:48,0.2094363,65,0.1241241,350
12.06.2021 01:39:53,0.1236239,66.66666,0.2382382,410
12.06.2021 01:39:58,0.2077229,66.66666,0.1111111,480
12.06.2021 01:40:03,0.1984521,66.66666,0.1251251,440
12.06.2021 01:40:08,0.2178296,65,0.1111111,400
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
