timestamp,mappedScore,HR,EDA,Score
11.06.2021 23:33:12,0.08053329,80,0.1581582,10
11.06.2021 23:33:22,0.05382627,85,0.1461461,20
11.06.2021 23:33:31,0.03007903,86.66666,0.1651652,30
11.06.2021 23:33:41,0.1469699,80,0.1051051,40
11.06.2021 23:33:49,0.2354991,66.66666,0.1011011,60
11.06.2021 23:33:57,0.1352481,75,0.1601602,80
11.06.2021 23:34:05,0.1384643,80,0.1151151,100
11.06.2021 23:34:12,0.02948612,86.66666,0.1861862,130
11.06.2021 23:34:19,0.1086946,80,0.1501502,160
11.06.2021 23:34:26,0.1342115,80,0.1201201,190
11.06.2021 23:34:32,0.1735233,75,0.1121121,230
11.06.2021 23:34:38,0.1743207,75,0.1111111,160
11.06.2021 23:34:44,0.1703249,73.33334,0.1301301,200
11.06.2021 23:34:50,0.1103957,80,0.1481481,250
11.06.2021 23:34:55,0.0763733,80,0.1881882,300
11.06.2021 23:35:00,0.1163497,80,0.1411411,350
11.06.2021 23:35:05,0.03809805,80,0.2332332,410
11.06.2021 23:35:10,0.1169079,75,0.1831832,470
11.06.2021 23:35:15,0.1710514,70,0.1591592,530
11.06.2021 23:35:20,0.1483166,66.66666,0.2242242,600
11.06.2021 23:35:24,0.2369167,66.66666,0.0990991,670
11.06.2021 23:35:30,0.1196456,73.33334,0.1951952,740
11.06.2021 23:35:34,0.1368429,75,0.1581582,820
11.06.2021 23:35:39,0.08232723,80,0.1811812,790
11.06.2021 23:35:43,0.0721205,80,0.1931932,870
11.06.2021 23:35:48,0.01382162,86.66666,0.2032032,850
11.06.2021 23:35:52,0,85,0.2412412,940
11.06.2021 23:35:56,0.03118978,86.66666,0.1921922,1030
11.06.2021 23:36:00,0,93.33334,0.1801802,1120
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 23:36:34,0.1847993,70,0.1981982,10
11.06.2021 23:36:44,0.1741644,73.33334,0.1851852,20
11.06.2021 23:36:53,0.170417,80,0.1341341,30
11.06.2021 23:37:02,0.07383701,86.66666,0.2292292,50
11.06.2021 23:37:10,0.088523,85,0.2212212,70
11.06.2021 23:37:18,0.1997502,73.33334,0.1401401,0
11.06.2021 23:37:25,0.1502843,73.33334,0.2272272,30
11.06.2021 23:37:32,0.2255686,66.66666,0.1541542,60
11.06.2021 23:37:39,0.2048609,75,0.1171171,90
11.06.2021 23:37:45,0.0866816,80,0.2692693,130
11.06.2021 23:37:51,0.1222885,75,0.2592593,170
11.06.2021 23:37:57,0.2135833,75,0.1021021,210
11.06.2021 23:38:02,0.1716575,80,0.1321321,260
11.06.2021 23:38:07,0.1034287,80,0.2422422,200
11.06.2021 23:38:13,0.1363284,86.66666,0.1361361,250
11.06.2021 23:38:18,0.1356823,80,0.1901902,200
11.06.2021 23:38:22,0.1394039,80,0.1841842,260
11.06.2021 23:38:27,0.1162022,85,0.1791792,320
11.06.2021 23:38:32,0.08458821,86.66666,0.2132132,390
11.06.2021 23:38:37,0.1666954,80,0.1401401,460
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 23:39:10,0.1102516,80,0.2312312,10
