timestamp,mappedScore,HR,EDA,Score
09.06.2021 14:27:51,0.2397156,80,0.1181181,0
09.06.2021 14:28:01,0.1889284,80,0.2432432,10
09.06.2021 14:28:10,0.2332148,80,0.1341341,0
09.06.2021 14:28:19,0.268969,80,0.04604604,0
09.06.2021 14:28:27,0.2344337,80,0.1311311,20
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
09.06.2021 14:30:52,0.2546639,73.33334,0.1341341,0
09.06.2021 14:31:02,0.2237811,75,0.2012012,0
09.06.2021 14:31:11,0.2433723,80,0.1091091,0
09.06.2021 14:31:19,0.224162,75,0.2002002,20
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
